ValenceBand,ConductionBand,CrystalDirection,mvb,mcb,mcb_indirect,Bandgap,IndirectBandgap,ElectronAffinity,ValenceBandShape,CollisionTime,epsilonStatic,epsilonInf,NumBonds,LatticeConstant,Density,DeformationPotential,SpeedofSound,PhononFrequency,Tphonon,SellmeierForm,A,B1,C1,B2,C2,MinWavelength,MaxWavelength,Wavelength,n,kappa
HeavyHole,CB1,[111],0.79,0.09,0.79,2.78,10000,3.8,Kane,55,11.1,9.11,16,5.4495,4140,-9.9,6320,12.07,300,4,11.1550956,0.5724276,0.0911014,1.56E+03,7.58E+02,2.5,5,190.7,0.847,0
LightHole,CB1,[111],0.14,0.09,0.79,2.78,10000,,Kane,,,,,,,,6320,,,,,,,,,,,198.4,0.968,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.6,1.11,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.3,1.036,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,1.046,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.7,1.066,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.4,1.07,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.1,1.083,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.9,1.088,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.6,1.102,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.3,1.109,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,1.119,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.8,1.24,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.5,1.139,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.3,1.155,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,1.164,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.8,1.175,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.5,1.18,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.3,1.195,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.1,1.211,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.8,1.222,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.6,1.235,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.4,1.4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.2,1.265,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,1.28,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.8,1.299,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.6,1.319,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.4,1.34,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.3,1.362,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.1,1.389,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.9,1.416,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.8,1.445,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.6,1.64,0
