ValenceBand,ConductionBand,CrystalDirection,mvb,mcb,mcb_indirect,Bandgap,IndirectBandgap,ElectronAffinity,ValenceBandShape,CollisionTime,epsilonStatic,epsilonInf,LatticeConstant,NumBonds,Density,DeformationPotential,SpeedofSound,PhononFrequency,Tphonon,SellmeierForm,B1,C1,B2,C2,B3,C3,MinWavelength,MaxWavelength,Wavelength,n,kappa
HeavyHole,CB1,[111],1.11,0.137,0.137,2.721,2.721,4.06,Kane,32,9.3,6.25,5.6692,16,5262.1,-4.17,4700,7.555,300,1,4.45813734,0.0403446805,0.467216334,0.1531713896,2.8956629,2221.822368582,0.54,18.2,233.93,2.0886,1.8656
HeavyHole,CB1,[001],0.52,0.137,0.137,2.721,2.721,,Kane,,,,,,,,4700,,,,,,,,,,,,234.27,2.0965,1.8757
HeavyHole,CB1,[110],0.862,0.137,0.137,2.721,2.721,,Kane,,,,,,,,4550,,,,,,,,,,,,234.61,2.1047,1.8856
LightHole,CB1,[111],0.143,0.137,0.137,2.721,2.721,,Kane,,,,,,,,4700,,,,,,,,,,,,234.95,2.1134,1.8955
LightHole,CB1,[001],0.168,0.137,0.137,2.721,2.721,,Kane,,,,,,,,4700,,,,,,,,,,,,235.28,2.1224,1.9052
LightHole,CB1,[110],0.149,0.137,0.137,2.721,2.721,,Kane,,,,,,,,4550,,,,,,,,,,,,235.63,2.1318,1.9148
SplitOff,CB1,[111],0.24,0.137,0.137,3.145,3.145,,Parabolic,,,,,,,,4700,,,,,,,,,,,,235.97,2.1416,1.9243
SplitOff,CB1,[001],0.24,0.137,0.137,3.145,3.145,,Parabolic,,,,,,,,4700,,,,,,,,,,,,236.31,2.1518,1.9336
SplitOff,CB1,[110],0.24,0.137,0.137,3.145,3.145,,Parabolic,,,,,,,,4550,,,,,,,,,,,,236.65,2.1624,1.9427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,2.1733,1.9516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.34,2.1846,1.9603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.69,2.1963,1.9688
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.04,2.2083,1.977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.39,2.2207,1.985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.73,2.2334,1.9927
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.09,2.2464,2.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.44,2.2598,2.0072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.79,2.2734,2.014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.14,2.2874,2.0205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.5,2.3016,2.0267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.85,2.3161,2.0325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.21,2.3308,2.0379
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.57,2.3457,2.043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.93,2.3609,2.0477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.29,2.3762,2.0521
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.65,2.3918,2.0561
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.01,2.4075,2.0597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.37,2.4234,2.0629
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.74,2.4394,2.0658
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.1,2.4555,2.0682
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.47,2.4717,2.0703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.84,2.4881,2.072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.21,2.5045,2.0734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.58,2.521,2.0743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.95,2.5375,2.075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.32,2.5542,2.0752
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.69,2.5708,2.0751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.07,2.5875,2.0747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.44,2.6043,2.0739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.82,2.621,2.0728
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.2,2.6379,2.0713
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.58,2.6547,2.0695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.96,2.6715,2.0674
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.34,2.6884,2.0649
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.72,2.7053,2.0621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.1,2.7223,2.059
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.49,2.7392,2.0556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.87,2.7562,2.0518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.26,2.7732,2.0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.65,2.7902,2.0432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.04,2.8072,2.0383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.43,2.8243,2.0331
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.82,2.8413,2.0276
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.22,2.8584,2.0216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.61,2.8755,2.0153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.01,2.8925,2.0086
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.4,2.9095,2.0014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.8,2.9265,1.9938
